,GeogName,Borough,Employed,Employed_%,Unemployed,Unemployed_%,Median_income
0,Bath Beach,Brooklyn,14857,55.3,1128,4.2,58243.0
1,Bay Ridge,Brooklyn,38906,59.4,3151,4.8,63539.0
2,Bedford,Brooklyn,32339,58.9,4621,8.4,39970.0
3,Bensonhurst East,Brooklyn,29258,55.4,2725,5.2,48097.0
4,Bensonhurst West,Brooklyn,41784,56.1,4049,5.4,51035.0
5,Borough Park,Brooklyn,36796,54.2,2237,3.3,36893.0
6,Brighton Beach,Brooklyn,14116,49.6,1196,4.2,35699.0
7,Brooklyn Heights-Cobble Hill,Brooklyn,13873,65.7,545,2.6,116189.0
8,Brownsville,Brooklyn,19893,43.8,3581,7.9,24504.0
9,Bushwick North,Brooklyn,30751,63.3,4444,9.2,46485.0
10,Bushwick South,Brooklyn,35371,58.1,5184,8.5,39733.0
11,Canarsie,Brooklyn,42956,60.7,3975,5.6,62263.0
12,Carroll Gardens-Columbia Street-Red Hook,Brooklyn,22888,66.4,2041,5.9,91757.0
13,Clinton Hill,Brooklyn,21019,65.7,1810,5.7,72799.0
14,Crown Heights North,Brooklyn,50967,57.9,5247,6.0,40678.0
15,Crown Heights South,Brooklyn,18899,57.4,2722,8.3,46357.0
16,Cypress Hills-City Line,Brooklyn,20340,53.4,1740,4.6,45720.0
17,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,23003,65.0,2217,6.3,94542.0
18,Dyker Heights,Brooklyn,20636,55.8,1899,5.1,56310.0
19,East Flatbush-Farragut,Brooklyn,24960,57.5,2221,5.1,53207.0
20,East New York,Brooklyn,36424,51.2,4633,6.5,35656.0
21,East New York (Pennsylvania Ave),Brooklyn,10622,48.4,1973,9.0,29183.0
22,East Williamsburg,Brooklyn,20188,63.5,1752,5.5,53891.0
23,Erasmus,Brooklyn,12744,56.1,1430,6.3,42858.0
24,Flatbush,Brooklyn,50422,59.4,4687,5.5,48896.0
25,Flatlands,Brooklyn,33813,58.1,3717,6.4,69459.0
26,Fort Greene,Brooklyn,14851,58.7,1695,6.7,59907.0
27,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,22046,58.5,1694,4.5,80660.0
28,Gravesend,Brooklyn,12343,50.1,1502,6.1,38573.0
29,Greenpoint,Brooklyn,21571,71.3,1265,4.2,74283.0
30,Homecrest,Brooklyn,18315,55.1,1627,4.9,52093.0
31,Kensington-Ocean Parkway,Brooklyn,16535,58.8,1149,4.1,54163.0
32,Madison,Brooklyn,17800,54.4,1100,3.4,58966.0
33,Midwood,Brooklyn,21355,52.9,2156,5.3,46598.0
34,North Side-South Side,Brooklyn,32165,70.6,2001,4.4,73312.0
35,Ocean Hill,Brooklyn,13458,52.3,1533,6.0,35638.0
36,Ocean Parkway South,Brooklyn,8235,54.5,559,3.7,54104.0
37,Park Slope-Gowanus,Brooklyn,45295,74.8,2243,3.7,113781.0
38,park-cemetery-etc-Brooklyn,Brooklyn,283,88.2,27,8.4,102205.0
39,Prospect Heights,Brooklyn,12667,72.6,751,4.3,89061.0
40,Prospect Lefferts Gardens-Wingate,Brooklyn,31962,57.4,3718,6.7,43485.0
41,Rugby-Remsen Village,Brooklyn,25337,55.6,2701,5.9,45863.0
42,Seagate-Coney Island,Brooklyn,9648,40.9,2049,8.7,26033.0
43,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,29706,53.8,3216,5.8,54371.0
44,Starrett City,Brooklyn,4328,41.5,502,4.8,24601.0
45,Stuyvesant Heights,Brooklyn,29232,54.1,4428,8.2,41269.0
46,Sunset Park East,Brooklyn,32419,59.3,2858,5.2,39200.0
47,Sunset Park West,Brooklyn,26941,59.0,2590,5.7,47397.0
48,West Brighton,Brooklyn,7109,49.2,692,4.8,40910.0
49,Williamsburg,Brooklyn,8712,46.1,402,2.1,23188.0
50,Windsor Terrace,Brooklyn,12351,70.5,545,3.1,91219.0
51,Battery Park City-Lower Manhattan,Manhattan,30432,77.6,1203,3.1,134266.0
52,Central Harlem North-Polo Grounds,Manhattan,37603,54.8,6381,9.3,35748.0
53,Central Harlem South,Manhattan,24228,59.8,1937,4.8,53590.0
54,Chinatown,Manhattan,21781,54.2,1956,4.9,38854.0
55,Clinton,Manhattan,30683,73.2,1922,4.6,81845.0
56,East Harlem North,Manhattan,23313,48.3,2444,5.1,27377.0
57,East Harlem South,Manhattan,25841,51.7,3279,6.6,36766.0
58,East Village,Manhattan,27010,65.8,1558,3.8,73965.0
59,Gramercy,Manhattan,18598,70.6,1168,4.4,116266.0
60,Hamilton Heights,Manhattan,28056,63.2,2953,6.7,44173.0
61,Hudson Yards-Chelsea-Flat Iron-Union Square,Manhattan,51157,73.4,2733,3.9,109092.0
62,Lenox Hill-Roosevelt Island,Manhattan,50015,70.4,1853,2.6,105539.0
63,Lincoln Square,Manhattan,35041,67.7,1843,3.6,121137.0
64,Lower East Side,Manhattan,30090,47.7,2984,4.7,31180.0
65,Manhattanville,Manhattan,10713,53.3,1018,5.1,30871.0
66,Marble Hill-Inwood,Manhattan,24882,57.9,3479,8.1,40278.0
67,Midtown-Midtown South,Manhattan,17108,65.5,940,3.6,116456.0
68,Morningside Heights,Manhattan,22556,47.7,1650,3.5,63563.0
69,Murray Hill-Kips Bay,Manhattan,29935,68.6,1231,2.8,95701.0
70,park-cemetery-etc-Manhattan,Manhattan,176,10.0,151,8.6,
71,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,25529,69.0,1121,3.0,121638.0
72,Stuyvesant Town-Cooper Village,Manhattan,13428,69.7,362,1.9,97212.0
73,Turtle Bay-East Midtown,Manhattan,33268,72.8,1028,2.2,119688.0
74,Upper East Side-Carnegie Hill,Manhattan,30269,61.2,1056,2.1,155786.0
75,Upper West Side,Manhattan,75460,65.7,4346,3.8,99320.0
