GeogName,GeoID,Borough,Less than 9th grade,9th to 12th grade,High School,"Some college, no degree",Associate degree,Bachelor degree,Graduate or proffesional degree,Less than High school,Bachelor degree or higher
Bath Beach,BK27,Brooklyn,13.2,9.8,26.0,10.4,7.0,22.4,11.2,23.0,33.6
Bay Ridge,BK31,Brooklyn,7.1,6.7,19.2,14.2,6.4,27.2,19.2,13.8,46.4
Bedford,BK75,Brooklyn,8.7,12.9,25.9,15.3,4.9,20.4,11.7,21.7,32.2
Bensonhurst East,BK29,Brooklyn,14.9,10.2,28.0,9.6,7.1,20.5,9.7,25.1,30.2
Bensonhurst West,BK28,Brooklyn,17.1,11.1,27.9,10.4,7.4,18.9,7.4,28.1,26.2
Borough Park,BK88,Brooklyn,12.7,14.4,37.3,12.9,3.8,11.1,7.7,27.1,18.8
Brighton Beach,BK19,Brooklyn,7.9,5.0,24.9,10.6,10.6,26.4,14.7,13.0,41.0
Brooklyn Heights-Cobble Hill,BK09,Brooklyn,2.1,0.9,9.3,6.8,2.8,36.4,41.6,3.0,78.1
Brownsville,BK81,Brooklyn,10.1,17.6,35.4,18.4,7.3,8.2,3.0,27.7,11.2
Bushwick North,BK77,Brooklyn,22.2,17.3,20.3,12.7,4.0,17.5,5.9,39.6,23.4
Bushwick South,BK78,Brooklyn,16.0,14.9,24.8,14.7,5.4,18.3,5.9,30.9,24.1
Canarsie,BK50,Brooklyn,6.4,8.2,29.3,19.8,10.3,17.1,8.9,14.7,26.0
Carroll Gardens-Columbia Street-Red Hook,BK33,Brooklyn,5.7,7.0,13.3,9.3,2.2,31.5,31.1,12.7,62.5
Clinton Hill,BK69,Brooklyn,3.7,4.3,14.9,14.8,5.5,32.8,23.9,8.0,56.8
Crown Heights North,BK61,Brooklyn,7.2,11.2,27.9,16.1,5.9,19.6,12.0,18.5,31.6
Crown Heights South,BK63,Brooklyn,5.2,9.2,26.5,21.5,6.0,18.9,12.7,14.4,31.5
Cypress Hills-City Line,BK83,Brooklyn,16.0,11.1,41.3,12.9,5.9,9.0,3.8,27.1,12.8
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,5.1,7.8,13.8,9.6,3.8,31.9,28.0,12.9,59.9
