Employed,Median_income,Precinct,Unemployed
90305.0,56017.0,1,5253.0
47310.0,80246.0,5,3077.0
42819.0,59796.5,6,2025.0
78881.0,47999.666666666664,7,6498.0
144046.0,77107.0,9,8856.0
47791.0,66100.33333333333,10,2862.0
79069.0,85127.0,13,3701.0
129592.0,105991.2,14,6289.0
63203.0,107694.5,17,2259.0
146545.0,99152.0,18,6940.0
164972.0,120073.75,19,6178.0
110677.0,73485.66666666667,20,6340.0
128461.0,79667.25,22,7203.0
131019.0,63842.2,23,9171.0
98016.0,81441.5,24,5996.0
136740.0,43199.4,25,13154.0
61325.0,46202.333333333336,26,5621.0
107876.0,36055.6,28,12563.0
38769.0,37522.0,30,3971.0
65835.0,26640.333333333332,32,9485.0
109638.0,33203.5,33,14101.0
106464.0,32229.75,34,14627.0
81564.0,24826.6,40,11800.0
124519.0,26600.666666666668,41,18183.0
91220.0,27347.375,42,15534.0
98560.0,38139.0,43,15422.0
121861.0,28548.75,44,18327.0
116478.0,50526.125,45,14438.0
100987.0,26833.333333333332,46,16449.0
111005.0,39164.0,47,16690.0
79438.0,27830.14285714286,48,15023.0
128805.0,42883.22222222222,49,21114.0
76546.0,40768.57142857143,50,8957.0
200047.0,34652.230769230766,52,32441.0
72474.0,37862.4,60,8164.0
143867.0,58833.0,61,13087.0
182520.0,59474.57142857143,62,15216.0
145413.0,69065.33333333333,63,13790.0
267753.0,56773.0,66,22619.0
218313.0,52981.555555555555,67,24804.0
155981.0,57590.666666666664,68,12762.0
195702.0,52710.444444444445,69,22803.0
295266.0,57199.0,70,26322.0
101828.0,43506.666666666664,71,11687.0
117289.0,78760.4,72,8263.0
149509.0,36189.166666666664,73,19463.0
118500.0,45754.75,75,15065.0
105235.0,83253.8,76,7197.0
77375.0,66895.5,77,7558.0
114998.0,84308.83333333333,78,9655.0
177640.0,42939.5,79,21692.0
93657.0,39195.0,81,11208.0
182683.0,49200.25,83,20944.0
135137.0,87973.5,84,10685.0
71823.0,83702.8,88,6500.0
159809.0,54112.0,90,18431.0
87352.0,74674.5,94,5380.0
27135.0,70240.75,100,3013.0
35986.0,47185.333333333336,101,4075.0
253693.0,61105.09090909091,102,23993.0
154385.0,60570.28571428572,103,20549.0
232448.0,62099.181818181816,104,17681.0
149633.0,78040.6,105,14141.0
64752.0,50364.25,106,7282.0
156448.0,64079.72727272727,107,14610.0
169468.0,62344.28571428572,108,10376.0
164772.0,62296.181818181816,109,10517.0
217196.0,54655.8,110,14658.0
132652.0,71546.44444444444,111,10156.0
165038.0,62668.75,112,10498.0
192645.0,61427.916666666664,113,23816.0
292159.0,47750.230769230766,114,20589.0
127085.0,43991.142857142855,115,8750.0
59705.0,63951.666666666664,120,4702.0
77593.0,68218.83333333333,121,4922.0
134995.0,68775.83333333333,122,9285.0
