,GeogName,GeoID,Borough,Hispanics,White alone,Black,American Indian,Asian,NHPINHE,Some other race,Two or more races
0,Bath Beach,BK27,Brooklyn,5861,14490,404,11,11975,29,71,322
1,Bay Ridge,BK31,Brooklyn,14134,50197,1511,181,11515,19,151,1426
2,Bedford,BK75,Brooklyn,14682,26407,30566,66,2290,0,149,1158
3,Bensonhurst East,BK29,Brooklyn,7923,29894,531,0,24858,0,348,713
4,Bensonhurst West,BK28,Brooklyn,13378,39112,801,111,37132,0,319,793
5,Borough Park,BK88,Brooklyn,10244,80190,946,140,13614,0,162,617
6,Brighton Beach,BK19,Brooklyn,3903,23746,261,149,5105,0,142,851
7,Brooklyn Heights-Cobble Hill,BK09,Brooklyn,1949,17461,1197,0,2327,10,62,1134
8,Brownsville,BK81,Brooklyn,12214,740,45539,166,963,0,151,351
9,Bushwick North,BK77,Brooklyn,41017,9252,5610,36,3996,0,198,725
10,Bushwick South,BK78,Brooklyn,41182,10883,19215,128,2559,0,171,865
11,Canarsie,BK50,Brooklyn,5467,4048,74885,331,2509,0,329,798
12,Carroll Gardens-Columbia Street-Red Hook,BK33,Brooklyn,8037,25780,4632,0,2261,0,257,1496
13,Clinton Hill,BK69,Brooklyn,4257,15508,14762,12,2454,17,165,1480
14,Crown Heights North,BK61,Brooklyn,13187,16853,70618,239,3262,0,569,2406
15,Crown Heights South,BK63,Brooklyn,3434,11814,25189,147,534,0,320,524
16,Cypress Hills-City Line,BK83,Brooklyn,30110,1558,12008,34,3928,0,645,616
17,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,8691,18944,8228,9,4684,19,319,1351
18,Dyker Heights,BK30,Brooklyn,5148,21415,368,88,18471,7,70,310
19,East Flatbush-Farragut,BK91,Brooklyn,3493,889,47317,9,897,0,228,702
20,East New York,BK82,Brooklyn,25482,1617,62486,46,2706,92,833,1186
21,East New York (Pennsylvania Ave),BK85,Brooklyn,6913,560,21434,82,198,4,102,154
22,East Williamsburg,BK90,Brooklyn,10711,15882,3125,180,5538,29,189,331
23,Erasmus,BK95,Brooklyn,2843,1230,23974,17,449,0,49,587
24,Flatbush,BK42,Brooklyn,20589,24359,49067,61,11129,11,974,2463
25,Flatlands,BK58,Brooklyn,6199,11458,50633,41,3008,11,288,902
26,Fort Greene,BK68,Brooklyn,6482,8540,11222,19,2937,0,83,1005
27,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,5118,32452,6072,0,3580,0,136,639
28,Gravesend,BK26,Brooklyn,4327,15255,2384,105,7534,0,24,659
29,Greenpoint,BK76,Brooklyn,4340,25167,736,29,1950,9,185,935
30,Homecrest,BK25,Brooklyn,4454,34673,427,108,3855,159,82,758
31,Kensington-Ocean Parkway,BK41,Brooklyn,6056,18756,2682,31,8416,0,212,1523
32,Madison,BK44,Brooklyn,3471,26247,547,0,8893,65,60,839
33,Midwood,BK43,Brooklyn,3879,39881,2814,87,5946,0,92,678
34,North Side-South Side,BK73,Brooklyn,18952,28571,1581,0,3829,28,215,1154
35,Ocean Hill,BK79,Brooklyn,6927,1310,24756,29,638,0,66,299
36,Ocean Parkway South,BK46,Brooklyn,1733,17545,229,301,1082,0,5,358
37,Park Slope-Gowanus,BK37,Brooklyn,12316,49436,3260,117,5177,0,449,3126
38,park-cemetery-etc-Brooklyn,BK99,Brooklyn,85,217,23,0,28,0,16,6
39,Prospect Heights,BK64,Brooklyn,2343,10366,5090,34,1495,0,88,1077
40,Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,7294,10187,48670,40,1514,82,302,1274
41,Rugby-Remsen Village,BK96,Brooklyn,3917,985,49751,100,608,0,128,462
42,Seagate-Coney Island,BK21,Brooklyn,7776,9216,8841,91,3128,0,243,382
43,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Brooklyn,5809,43445,4741,167,11275,80,49,727
44,Starrett City,BK93,Brooklyn,2208,2759,6816,117,306,0,0,182
45,Stuyvesant Heights,BK35,Brooklyn,12114,6512,45035,165,2263,0,175,1107
46,Sunset Park East,BK34,Brooklyn,22901,9109,1045,22,37938,14,206,615
47,Sunset Park West,BK32,Brooklyn,36494,9735,1817,129,8447,17,113,625
48,West Brighton,BK23,Brooklyn,429,14931,177,0,149,8,0,60
49,Williamsburg,BK72,Brooklyn,2748,29533,1238,20,114,11,0,103
50,Windsor Terrace,BK40,Brooklyn,2881,14870,1055,9,2580,0,122,514
51,Battery Park City-Lower Manhattan,MN25,Manhattan,3960,29642,1100,41,9687,6,228,1073
52,Central Harlem North-Polo Grounds,MN03,Manhattan,22264,7770,51362,349,1745,81,196,2105
53,Central Harlem South,MN11,Manhattan,9840,9974,26221,47,2621,0,150,1242
54,Chinatown,MN27,Manhattan,6604,7967,2467,40,26336,8,324,1152
55,Clinton,MN15,Manhattan,8588,24899,2510,80,7018,12,360,826
56,East Harlem North,MN34,Manhattan,29200,5186,21873,21,3337,16,508,890
57,East Harlem South,MN33,Manhattan,25873,12998,13706,0,5853,72,381,894
58,East Village,MN22,Manhattan,4672,29218,2170,47,5957,37,46,875
59,Gramercy,MN21,Manhattan,2091,19804,1098,174,4002,0,69,648
60,Hamilton Heights,MN04,Manhattan,24053,8759,15524,52,1863,0,115,2142
61,Hudson Yards-Chelsea-Flat Iron-Union Square,MN13,Manhattan,10838,48751,4429,51,11102,0,349,1685
62,Lenox Hill-Roosevelt Island,MN31,Manhattan,7412,59069,3197,330,9810,77,41,2115
63,Lincoln Square,MN14,Manhattan,6010,42982,2053,43,7131,5,230,1237
64,Lower East Side,MN28,Manhattan,28805,15996,8007,194,17591,41,774,1381
65,Manhattanville,MN06,Manhattan,13381,2357,6435,0,944,14,11,524
66,Marble Hill-Inwood,MN01,Manhattan,38689,8367,3956,1,866,29,121,652
67,Midtown-Midtown South,MN17,Manhattan,2307,17344,1148,75,6029,26,209,673
68,Morningside Heights,MN09,Manhattan,11803,25978,5965,96,8025,27,604,1209
69,Murray Hill-Kips Bay,MN20,Manhattan,5728,29280,1996,23,9145,0,186,1416
70,park-cemetery-etc-Manhattan,MN99,Manhattan,358,386,903,14,51,31,10,12
71,SoHo-TriBeCa-Civic Center-Little Italy,MN24,Manhattan,2839,28050,1023,43,9281,0,125,1618
72,Stuyvesant Town-Cooper Village,MN50,Manhattan,1778,15874,728,0,2456,0,66,560
73,Turtle Bay-East Midtown,MN19,Manhattan,3207,36919,917,45,7568,6,133,833
74,Upper East Side-Carnegie Hill,MN40,Manhattan,4130,49005,602,13,3598,0,148,1097
75,Upper West Side,MN12,Manhattan,21966,88180,9655,72,10607,0,429,3110
76,Washington Heights North,MN35,Manhattan,47310,19079,3892,22,2028,0,160,1032
77,Washington Heights South,MN36,Manhattan,67385,11476,9238,40,3003,66,303,965
78,West Village,MN23,Manhattan,4032,53660,1339,141,5741,16,323,1520
79,Yorkville,MN32,Manhattan,8403,60628,2494,35,7253,134,140,2191
80,Airport,QN98,Queens,0,0,0,0,0,0,0,0
81,Astoria,QN70,Queens,20787,38563,2870,49,12811,53,383,1736
82,Auburndale,QN48,Queens,2732,7582,214,33,9507,0,56,485
83,Baisley Park,QN76,Queens,5132,420,27740,108,2109,0,2602,968
84,Bayside-Bayside Hills,QN46,Queens,5992,18640,726,0,18741,0,81,684
85,Bellerose,QN43,Queens,5502,7436,1705,29,11256,0,402,586
86,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,Queens,3469,21974,1726,75,667,0,198,134
87,Briarwood-Jamaica Hills,QN35,Queens,11399,7020,4892,55,16617,8,696,1537
88,Cambria Heights,QN33,Queens,1015,227,17681,57,138,0,114,314
89,College Point,QN23,Queens,9809,6221,556,190,8363,47,132,557
90,Corona,QN25,Queens,36037,3983,9504,180,8404,0,229,289
91,Douglas Manor-Douglaston-Little Neck,QN45,Queens,3064,11938,409,0,9656,0,102,569
92,East Elmhurst,QN27,Queens,13548,1169,4912,0,1725,0,189,217
93,East Flushing,QN52,Queens,5053,3768,442,53,16508,0,149,463
94,Elmhurst,QN29,Queens,36138,5013,1734,141,38777,0,479,1381
95,Elmhurst-Maspeth,QN50,Queens,7178,3588,186,25,15219,15,27,222
96,Far Rockaway-Bayswater,QN15,Queens,14516,14380,22400,90,1876,57,283,662
97,Flushing,QN22,Queens,10223,5479,3001,64,50133,22,748,1027
98,Forest Hills,QN17,Queens,13127,46136,2404,222,22120,72,231,2219
99,Fresh Meadows-Utopia,QN41,Queens,2331,5985,557,118,8999,0,266,444
100,Ft. Totten-Bay Terrace-Clearview,QN47,Queens,3065,13404,143,49,4878,0,40,366
101,Glen Oaks-Floral Park-New Hyde Park,QN44,Queens,2168,10533,1149,26,8601,0,118,749
102,Glendale,QN19,Queens,11642,20094,505,12,1367,8,6,395
103,Hammels-Arverne-Edgemere,QN12,Queens,10607,6175,18830,45,2160,0,357,829
104,Hollis,QN07,Queens,2325,551,12445,9,4132,0,1012,740
105,Hunters Point-Sunnyside-West Maspeth,QN31,Queens,22883,25244,1249,72,15707,0,222,1549
