Precinct,NTAName
1,Battery Park City-Lower Manhattan
1,Chinatown
1,SoHo-TriBeCa-Civic Center-Little Italy
1,West Village
1,park-cemetery-etc-Manhattan
5,Chinatown
5,SoHo-TriBeCa-Civic Center-Little Italy
6,Hudson Yards-Chelsea-Flatiron-Union Square
6,West Village
7,Chinatown
7,East Village
7,Lower East Side
9,East Village
9,Gramercy
9,Hudson Yards-Chelsea-Flatiron-Union Square
9,Lower East Side
9,SoHo-TriBeCa-Civic Center-Little Italy
9,West Village
10,Clinton
10,Hudson Yards-Chelsea-Flatiron-Union Square
10,Midtown-Midtown South
13,Gramercy
13,Hudson Yards-Chelsea-Flatiron-Union Square
13,Midtown-Midtown South
13,Murray Hill-Kips Bay
13,Stuyvesant Town-Cooper Village
14,Clinton
14,Gramercy
14,Midtown-Midtown South
14,Murray Hill-Kips Bay
14,Turtle Bay-East Midtown
17,Murray Hill-Kips Bay
17,Turtle Bay-East Midtown
18,Clinton
18,Lincoln Square
18,Midtown-Midtown South
18,Turtle Bay-East Midtown
18,Upper East Side-Carnegie Hill
18,park-cemetery-etc-Manhattan
19,Lenox Hill-Roosevelt Island
19,Turtle Bay-East Midtown
19,Upper East Side-Carnegie Hill
19,Yorkville
20,Lincoln Square
20,Upper West Side
20,park-cemetery-etc-Manhattan
22,Morningside Heights
22,Upper East Side-Carnegie Hill
22,Upper West Side
22,park-cemetery-etc-Manhattan
23,East Harlem North
23,East Harlem South
23,Upper East Side-Carnegie Hill
23,Yorkville
23,park-cemetery-etc-Manhattan
24,Morningside Heights
24,Upper West Side
25,Central Harlem North-Polo Grounds
25,Central Harlem South
25,East Harlem North
25,Yorkville
25,park-cemetery-etc-Manhattan
26,Hamilton Heights
26,Manhattanville
26,Morningside Heights
28,Central Harlem North-Polo Grounds
28,Central Harlem South
28,East Harlem North
28,Morningside Heights
28,park-cemetery-etc-Manhattan
30,Hamilton Heights
30,Manhattanville
32,Central Harlem North-Polo Grounds
32,Hamilton Heights
